 Greece;1896;I;
 France;1900;II;
 United States;1904;III;
 United Kingdom;1908;IV;
 Sweden;1912;V;
 Germany;1916;VI;
 Belgium;1920;VII;
 France;1924;;I
 France;;VIII;
  Switzerland;1928;;II
 Netherlands;;IX;
 United States;1932;;III
 United States;;X;
 Germany;1936;;IV
 Germany;;XI;
 Japan;1940;;V
 Germany;;;
 Japan;;XII;
 Finland;;;
 Italy;1944;;V
 United Kingdom;;XIII;
  Switzerland;1948;;V
 United Kingdom;;XIV;
 Norway;1952;;VI
 Finland;;XV;
 Italy;1956;;VII
 Australia;;XVI;
 Sweden;;;
 United States;1960;;VIII
 Italy;;XVII;
 Austria;1964;;IX
 Japan;;XVIII;
 France;1968;;X
 Mexico;;XIX;
 Japan;1972;;XI
 West Germany;;XX;
 Austria;1976;;XII
 Canada;;XXI;
 United States;1980;;XIII
 Soviet Union;;XXII;
 Yugoslavia;1984;;XIV
 United States;;XXIII;
 Canada;1988;;XV
 South Korea;;XXIV;
 France;1992;;XVI
 Spain;;XXV;
 Norway;1994;;XVII
 United States;1996;XXVI;
 Japan;1998;;XVIII
 Australia;2000;XXVII;
 United States;2002;;XIX
 Greece;2004;XXVIII;
 Italy;2006;;XX
 China;2008;XXIX;
 Canada;2010;;XXI
 United Kingdom;2012;XXX;
 Russia;2014;;XXII
 Brazil;2016;XXXI;
 South Korea;2018;;XXIII
 Japan;2020;XXXII;
 China;2022;;XXIV
 France;2024;XXXIII;
 Italy;2026;;XXV
 United States;2028;XXXIV;
 Australia;2032;XXXV;
